Location,Latitude,Longitude
Lincoln Park,32.867418,-84.334859
Lincolnton city,33.793092,-82.477654
Lindale,34.188177,-85.180799
Lithia Springs,33.781015,-84.64877
Lithonia city,33.712953,-84.106001
Locust Grove city,33.343489,-84.106836
Loganville city,33.835282,-83.895753
Lone Oak town,33.172352,-84.817331
Lookout Mountain city,34.966413,-85.362193
Louisville city,32.995538,-82.400015
Lovejoy city,33.442172,-84.317869
Ludowici city,31.709635,-81.745694
Lula city,34.395268,-83.665046
Lumber City city,31.932999,-82.682838
Lumpkin city,32.048763,-84.79803
Luthersville city,33.209583,-84.744265
Lyerly town,34.403432,-85.404092
Lyons city,32.205261,-82.321482
Mableton,33.813222,-84.565409
Macon city,32.832042,-83.649582
Madison city,33.579085,-83.475827
Manassas city,32.160349,-82.019953
Manchester city,32.856554,-84.633014
Mansfield city,33.517812,-83.735359
Marietta city,33.953164,-84.542016
Marshallville city,32.456428,-83.940709
Martin town,34.485576,-83.198255
Martinez,33.520897,-82.098468
Matthews,33.21755,-82.307891
Maxeys town,33.755482,-83.173699
Maysville town,34.255093,-83.552821
McCaysville city,34.981103,-84.370507
McDonough city,33.440098,-84.150301
McIntyre town,32.84657,-83.201095
McRae city,32.056239,-82.890474
Meansville city,33.05089,-84.308365
Meigs city,31.071378,-84.092199
Mendes,31.995339,-81.970938
Menlo city,34.483491,-85.477611
Metter city,32.395965,-82.062445
Midville city,32.821751,-82.234606
Midway city,31.800406,-81.419133
Milan city,32.019455,-83.063058
Milledgeville city,33.087539,-83.241227
Millen city,32.807105,-81.942321
Milner city,33.11781,-84.192583
Milton city,34.13534,-84.313796
Mineral Bluff,34.913893,-84.278021
Mitchell town,33.219882,-82.703133
Molena city,33.01187,-84.500139
Monroe city,33.799688,-83.715419
Montezuma city,32.299651,-84.024609
Montgomery,31.943871,-81.108012
Monticello city,33.30749,-83.686128
Montrose town,32.559435,-83.153496
Moody AFB,30.978999,-83.213855
Moreland town,33.28604,-84.769877
Morgan city,31.538097,-84.603239
Morganton city,34.875684,-84.244411
Morrow city,33.581554,-84.339204
Morven city,30.943344,-83.500311
Moultrie city,31.159442,-83.77037
Mount Airy town,34.521809,-83.497489
Mount Vernon city,32.183113,-82.595232
Mount Zion city,33.640761,-85.179999
Mountain City town,34.91963,-83.38537
Mountain Park,33.845536,-84.130862
Mountain Park city,34.083027,-84.413329
Nahunta city,31.206532,-81.981439
Nashville city,31.205142,-83.24857
Nelson city,34.37935,-84.370997
Newborn town,33.516339,-83.695863
Newington town,32.588795,-81.506321
Newnan city,33.377051,-84.774351
Newton city,31.31724,-84.337591
Nicholls city,31.519151,-82.638683
Nicholson city,34.117372,-83.429104
Norcross city,33.940961,-84.20982
Norman Park city,31.26921,-83.684273
Norristown,32.506492,-82.498177
North Atlanta,33.862227,-84.332546
North Decatur,33.806955,-84.288721
North Druid Hills,33.819005,-84.326053
North High Shoals town,33.827342,-83.501541
Norwood city,33.46248,-82.705485
Nunez city,32.491959,-82.34666
Oak Park town,32.382145,-82.315267
Oakwood city,34.223748,-83.884906
Ochlocknee town,30.975164,-84.051763
Ocilla city,31.598642,-83.249783
Oconee city,32.853452,-82.957675
Odum city,31.666175,-82.026666
Offerman city,31.408827,-82.113193
Oglethorpe city,32.293459,-84.062322
Oliver city,32.521487,-81.533072
Omega city,31.338898,-83.59494
Orchard Hill town,33.185099,-84.212252
Oxford city,33.627693,-83.872111
Palmetto city,33.532078,-84.668492
Panthersville,33.705922,-84.276321
Parrott town,31.894383,-84.511756
Patterson city,31.38528,-82.137119
Pavo city,30.959746,-83.737998
Payne city,32.851838,-83.679411
Peachtree City city,33.39424,-84.5711
Pearson city,31.297016,-82.854352
Pelham city,31.126639,-84.151459
Pembroke city,32.145501,-81.618612
Pendergrass town,34.164536,-83.682584
Perkins,32.914883,-81.949049
Perry city,32.47115,-83.728308
Phillipsburg,31.438861,-83.520309
Pine Lake city,33.79051,-84.206029
Pine Mountain town,32.852381,-84.853066
Pinehurst city,32.195568,-83.759655
Pineview town,32.108485,-83.503008
Pitts city,31.946184,-83.541757
Plains city,32.03307,-84.394528
Plainville city,34.405265,-85.031489
Pooler city,32.102411,-81.253894
Port Wentworth city,32.194365,-81.198329
Portal town,32.538818,-81.929497
Porterdale city,33.574089,-83.894249
Poulan city,31.514507,-83.78982
Powder Springs city,33.865945,-84.683699
Pulaski town,32.390385,-81.956548
Putney,31.475514,-84.100641
Quitman city,30.784863,-83.560318
Ranger town,34.501261,-84.711067
Raoul,34.454515,-83.600076
Ray City city,31.075655,-83.196853
Rayle town,33.790242,-82.903143
Rebecca town,31.807226,-83.487577
Redan,33.737593,-84.158916
Reed Creek,34.439387,-82.910018
Register town,32.365937,-81.884803
Reidsville city,32.087055,-82.12441
Remerton city,30.844142,-83.308463
Rentz city,32.383544,-82.991704
Resaca town,34.578733,-84.94413
Rest Haven town,34.133677,-83.976008
Reynolds city,32.560784,-84.094513
Rhine town,31.989078,-83.200005
Riceboro city,31.726431,-81.443783
Richland city,32.08853,-84.662565
Richmond Hill city,31.931201,-81.313269
Riddleville town,32.906919,-82.666068
Rincon town,32.293955,-81.23571
Ringgold city,34.914778,-85.122414
Riverdale city,33.564495,-84.409824
Riverside town,31.178132,-83.80546
Roberta city,32.719609,-84.010424
Robins AFB,32.609196,-83.584529
Rochelle city,31.948766,-83.456882
Rockingham,31.544051,-82.414467
Rockmart city,34.010269,-85.044197
Rocky Ford town,32.663666,-81.829739
Rome city,34.267088,-85.187366
Roopville town,33.456639,-85.130407
Rossville city,34.974747,-85.289748
Roswell city,34.039138,-84.351223
Royston city,34.285951,-83.109632
Russell,33.979743,-83.692092
Rutledge city,33.626297,-83.611272
Sale City city,31.262558,-84.021377
Salem,32.759186,-84.19161
Sandersville city,32.982662,-82.809289
Sandy Springs city,33.936667,-84.37032
Santa Claus city,32.171261,-82.329729
Sardis city,32.975581,-81.762124
Sasser town,31.719916,-84.347765
Satilla,31.792108,-82.56404
Sautee Nacoochee,34.689541,-83.68597
Savannah city,32.028254,-81.178277
Scotland city,32.047159,-82.818291
Scottdale,33.795413,-84.262627
Screven city,31.484005,-82.017103
Senoia city,33.311445,-84.551878
Seville,31.960751,-83.601206
Shady Dale town,33.400791,-83.588093
Shannon,34.340621,-85.085355
Sharon city,33.560117,-82.794951
Sharpsburg town,33.340705,-84.648369
Shellman city,31.757055,-84.616305
Shiloh city,32.811983,-84.69896
Siloam town,33.536589,-83.081225
Skidaway Island,31.93725,-81.044853
Sky Valley city,34.984065,-83.331357
Smithville city,31.901101,-84.255175
Smyrna city,33.864095,-84.516861
Snellville city,33.855957,-84.003895
Social Circle city,33.647596,-83.712899
Soperton city,32.378196,-82.594447
Sparks town,31.169332,-83.440527
Sparta city,33.27667,-82.970551
Springfield city,32.364138,-81.307869
St. Marys city,30.756669,-81.57216
St. Simons,31.17555,-81.385737
Stapleton city,33.216889,-82.46724
Statenville,30.706502,-83.019027
Statesboro city,32.440483,-81.774747
Statham city,33.964796,-83.598892
Stillmore city,32.44103,-82.21447
Stockbridge city,33.526133,-84.228972
Stone Mountain city,33.80382,-84.172036
Sugar Hill city,34.108044,-84.056037
Summertown city,32.745794,-82.276369
Summerville city,34.478752,-85.349071
Sumner town,31.509885,-83.735922
Sunny Side city,33.34205,-84.29111
Sunnyside,31.240683,-82.341117
Sunset Village,32.894658,-84.40574
Surrency town,31.721579,-82.198732
Suwanee city,34.050572,-84.068722
Swainsboro city,32.586604,-82.334485
Sycamore city,31.671074,-83.635145
Sylvania city,32.74669,-81.640827
Sylvester city,31.530393,-83.835605
Talahi Island,32.033051,-80.97613
Talbotton city,32.677268,-84.540594
Talking Rock town,34.527652,-84.494086
Tallapoosa city,33.733465,-85.285835
Tallulah Falls town,34.725757,-83.381655
Talmo town,34.184891,-83.717833
Tarrytown town,32.318716,-82.559552
Tate City,34.978848,-83.554049
Taylorsville town,34.085985,-84.987566
Temple city,33.734174,-85.028905
Tennille city,32.935906,-82.81347
The Rock,32.963518,-84.23781
Thomaston city,32.890804,-84.32713
Thomasville city,30.839514,-83.978319
Thomson city,33.466656,-82.499289
Thunderbolt town,32.033168,-81.049583
Tifton city,31.462491,-83.520504
Tiger town,34.845786,-83.433052
Tignall town,33.867364,-82.741982
Toccoa city,34.58072,-83.325808
Toomsboro city,32.822373,-83.082638
Trenton city,34.87415,-85.509647
Trion town,34.547945,-85.310763
Tucker,33.853263,-84.222863
Tunnel Hill city,34.847762,-85.040594
Turin town,33.326886,-84.636257
Twin City city,32.582932,-82.157516
Ty Ty city,31.472026,-83.650893
Tybee Island city,32.010014,-80.852776
Tyrone town,33.474917,-84.594359
Unadilla city,32.258268,-83.735616
Union City city,33.594204,-84.561
Union Point city,33.617891,-83.075738
Unionville,31.436242,-83.508356
Uvalda city,32.037088,-82.508018
Valdosta city,30.850327,-83.278882
Varnell city,34.901441,-84.965349
Vernonburg town,31.963817,-81.125558
Vidalia city,32.21336,-82.403341
Vidette city,33.037586,-82.247438
Vienna city,32.092498,-83.78645
Villa Rica city,33.730454,-84.91679
Vinings,33.860786,-84.468615
Waco city,33.702584,-85.189217
Wadley city,32.86632,-82.401372
Waleska city,34.317014,-84.550556
Walnut Grove city,33.745399,-83.850269
Walthourville city,31.771636,-81.621746
Warm Springs city,32.885219,-84.676608
Warner Robins city,32.598511,-83.653027
Warrenton city,33.406727,-82.665268
Warwick city,31.82979,-83.920625
Washington city,33.735536,-82.742578
Watkinsville city,33.861212,-83.407306
Waverly Hall town,32.683681,-84.737754
Waycross city,31.210898,-82.357941
Waynesboro city,33.091112,-82.014591
Webster County unified government,32.046649,-84.551053
West Point city,32.895123,-85.144781
Whigham city,30.884521,-84.324656
White city,34.282401,-84.747236
White Plains city,33.481546,-83.036514
Whitemarsh Island,32.030452,-81.011015
Whitesburg city,33.492764,-84.913666
